@relation 'iris-weka.filters.unsupervised.attribute.AddExpression-Ea1 + a2 + a3 + a4-NDimSum'

@attribute sepallength numeric
@attribute sepalwidth numeric
@attribute petallength numeric
@attribute petalwidth numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}
@attribute DimSum numeric

@data
5.1,3.5,1.4,0.2,Iris-setosa,10.2
4.9,3,1.4,0.2,Iris-setosa,9.5
4.7,3.2,1.3,0.2,Iris-setosa,9.4
4.6,3.1,1.5,0.2,Iris-setosa,9.4
5,3.6,1.4,0.2,Iris-setosa,10.2
5.4,3.9,1.7,0.4,Iris-setosa,11.4
4.6,3.4,1.4,0.3,Iris-setosa,9.7
5,3.4,1.5,0.2,Iris-setosa,10.1
4.4,2.9,1.4,0.2,Iris-setosa,8.9
4.9,3.1,1.5,0.1,Iris-setosa,9.6
5.4,3.7,1.5,0.2,Iris-setosa,10.8
4.8,3.4,1.6,0.2,Iris-setosa,10
4.8,3,1.4,0.1,Iris-setosa,9.3
4.3,3,1.1,0.1,Iris-setosa,8.5
5.8,4,1.2,0.2,Iris-setosa,11.2
5.7,4.4,1.5,0.4,Iris-setosa,12
5.4,3.9,1.3,0.4,Iris-setosa,11
5.1,3.5,1.4,0.3,Iris-setosa,10.3
5.7,3.8,1.7,0.3,Iris-setosa,11.5
5.1,3.8,1.5,0.3,Iris-setosa,10.7
5.4,3.4,1.7,0.2,Iris-setosa,10.7
5.1,3.7,1.5,0.4,Iris-setosa,10.7
4.6,3.6,1,0.2,Iris-setosa,9.4
5.1,3.3,1.7,0.5,Iris-setosa,10.6
4.8,3.4,1.9,0.2,Iris-setosa,10.3
5,3,1.6,0.2,Iris-setosa,9.8
5,3.4,1.6,0.4,Iris-setosa,10.4
5.2,3.5,1.5,0.2,Iris-setosa,10.4
5.2,3.4,1.4,0.2,Iris-setosa,10.2
4.7,3.2,1.6,0.2,Iris-setosa,9.7
4.8,3.1,1.6,0.2,Iris-setosa,9.7
5.4,3.4,1.5,0.4,Iris-setosa,10.7
