@relation InstanceResultListener

@attribute Key_Dataset {audiology}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.lazy.IBk}
@attribute Key_Scheme_options {'-C 0.5 -M 2','-K 10 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"'}
@attribute Key_Scheme_version_ID {-217733168393644444,-3080186098777067172}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 30\nSize of the tree: 46\n','Number of leaves: 32\nSize of the tree: 51\n','Number of leaves: 30\nSize of the tree: 48\n','Number of leaves: 35\nSize of the tree: 54\n','Number of leaves: 30\nSize of the tree: 50\n','Number of leaves: 28\nSize of the tree: 47\n','Number of leaves: 33\nSize of the tree: 53\n','Number of leaves: 31\nSize of the tree: 49\n','Number of leaves: 29\nSize of the tree: 48\n','Number of leaves: 29\nSize of the tree: 49\n','Number of leaves: 33\nSize of the tree: 55\n','Number of leaves: 30\nSize of the tree: 47\n','Number of leaves: 26\nSize of the tree: 43\n','Number of leaves: 32\nSize of the tree: 54\n','Number of leaves: 31\nSize of the tree: 52\n','Number of leaves: 28\nSize of the tree: 46\n','Number of leaves: 31\nSize of the tree: 50\n','Number of leaves: 35\nSize of the tree: 56\n','Number of leaves: 29\nSize of the tree: 46\n','Number of leaves: 30\nSize of the tree: 51\n','Number of leaves: 28\nSize of the tree: 44\n','Number of leaves: 27\nSize of the tree: 45\n','Number of leaves: 36\nSize of the tree: 55\n','Number of leaves: 32\nSize of the tree: 49\n','Number of leaves: 34\nSize of the tree: 56\n','Number of leaves: 28\nSize of the tree: 43\n','Number of leaves: 34\nSize of the tree: 57\n','Number of leaves: 36\nSize of the tree: 58\n','Number of leaves: 32\nSize of the tree: 50\n','Number of leaves: 29\nSize of the tree: 45\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureKNN numeric

@data

audiology,1,1,weka.classifiers.trees.J48,'-C 0.5 -M 2',-217733168393644444,20200304.1816,203,23,15,8,0,65.217391,34.782609,0,0.595604,0.031744,0.150384,43.768586,79.366674,82.860732,4309.522061,-4226.66133,3.602641,187.370524,-183.767884,48.078915,2.090388,58.023763,?,0,0,0,1,23,?,0,?,?,?,?,?,?,0.652174,0.027768,0.972232,0.347826,?,0.652174,?,?,0.881922,0.663696,?,0.652174,0.068,0.002,0.02,0,20,0,42966,131513,25493,82.608696,8.514493,'Number of leaves: 30\nSize of the tree: 46\n',46,30,30,?
audiology,1,2,weka.classifiers.trees.J48,'-C 0.5 -M 2',-217733168393644444,20200304.1816,203,23,20,3,0,86.956522,13.043478,0,0.847345,0.015519,0.09486,21.322965,49.86638,82.25444,1081.715607,-999.461166,3.57628,47.031113,-43.454833,67.589174,2.93866,82.170851,?,0,0,0,1,23,?,0,?,?,?,?,?,?,0.869565,0.019486,0.980514,0.130435,?,0.869565,?,?,0.961653,0.87042,?,0.869565,0.031,0.003,0.01,0,10,0,46000,131513,25493,95.652174,6.34058,'Number of leaves: 32\nSize of the tree: 51\n',51,32,32,?
audiology,1,3,weka.classifiers.trees.J48,'-C 0.5 -M 2',-217733168393644444,20200304.1816,203,23,18,5,0,78.26087,21.73913,0,0.748359,0.019365,0.116254,26.606888,61.11267,82.25444,2156.966239,-2074.711798,3.57628,93.781141,-90.204861,63.062013,2.741827,76.667002,0,0,0,0,1,22,1,1,?,0,?,?,0.5,0.043478,0.782609,0.023957,0.976043,0.217391,?,0.782609,?,?,0.936675,0.806396,?,0.782609,0.03,0,0.01,0,10,0,44058,131513,25493,91.304348,6.34058,'Number of leaves: 30\nSize of the tree: 48\n',48,30,30,?
audiology,1,4,weka.classifiers.trees.J48,'-C 0.5 -M 2',-217733168393644444,20200304.1816,203,23,19,4,0,82.608696,17.391304,0,0.794643,0.017587,0.102527,24.286484,54.202634,80.105844,1084.062614,-1003.95677,3.482863,47.133157,-43.650294,64.299404,2.795626,80.268056,?,0,0,0,1,23,?,0,?,?,?,?,?,?,0.826087,0.028295,0.971705,0.173913,?,0.826087,?,?,0.962763,0.867832,?,0.826087,0.018,0,0,0,0,0,48094,131513,25493,95.652174,7.246377,'Number of leaves: 35\nSize of the tree: 54\n',54,35,35,?
audiology,1,5,weka.classifiers.trees.J48,'-C 0.5 -M 2',-217733168393644444,20200304.1816,203,23,17,6,0,73.913043,26.086957,0,0.691964,0.02503,0.137644,34.548519,72.732084,81.690807,4305.256666,-4223.56586,3.551774,187.185072,-183.633298,52.305628,2.274158,64.028781,?,0,0,0,1,23,?,0,?,?,?,?,?,?,0.73913,0.038553,0.961447,0.26087,?,0.73913,?,?,0.88696,0.681506,?,0.73913,0.007,0,0,0,0,0,45150,131513,25493,78.26087,6.521739,'Number of leaves: 30\nSize of the tree: 50\n',50,30,30,?
audiology,1,6,weka.classifiers.trees.J48,'-C 0.5 -M 2',-217733168393644444,20200304.1816,203,23,19,4,0,82.608696,17.391304,0,0.797357,0.020897,0.113227,28.856467,59.8594,80.690807,2158.901786,-2078.21098,3.508296,93.865295,-90.356999,57.022875,2.479255,70.668366,?,0,0,0,1,23,?,0,?,?,?,?,?,?,0.826087,0.008282,0.991718,0.173913,?,0.826087,?,?,0.940962,0.818998,?,0.826087,0.055,0.001,0.01,0,10,0,43208,131513,25493,86.956522,7.971014,'Number of leaves: 28\nSize of the tree: 47\n',47,28,28,?
audiology,1,7,weka.classifiers.trees.J48,'-C 0.5 -M 2',-217733168393644444,20200304.1816,204,22,20,2,0,90.909091,9.090909,0,0.890819,0.014042,0.084329,19.569155,45.04369,70.407585,1079.981041,-1009.573457,3.200345,49.090047,-45.889703,60.199187,2.736327,85.500997,?,0,0,0,1,22,?,0,?,?,?,?,?,?,0.909091,0.011722,0.988278,0.090909,?,0.909091,?,?,0.964727,0.872016,?,0.909091,0.011,0,0,0,0,0,47244,132102,24904,95.454545,8.333333,'Number of leaves: 33\nSize of the tree: 53\n',53,33,33,?
audiology,1,8,weka.classifiers.trees.J48,'-C 0.5 -M 2',-217733168393644444,20200304.1816,204,22,17,5,0,77.272727,22.727273,0,0.733656,0.023202,0.12635,32.01717,66.73932,73.970621,1089.885406,-1015.914785,3.362301,49.540246,-46.177945,57.104134,2.595642,77.198397,?,0,0,0,1,22,?,0,?,?,?,?,?,?,0.772727,0.041092,0.958908,0.227273,?,0.772727,?,?,0.921827,0.772039,?,0.772727,0.018,0,0.01,0,10,0,44756,132102,24904,90.909091,7.575758,'Number of leaves: 31\nSize of the tree: 49\n',49,31,31,?
audiology,1,9,weka.classifiers.trees.J48,'-C 0.5 -M 2',-217733168393644444,20200304.1816,204,22,17,5,0,77.272727,22.727273,0,0.733656,0.022901,0.119431,31.44236,62.732371,79.15177,2157.211811,-2078.06004,3.597808,98.055082,-94.457275,61.35548,2.788885,77.516245,?,0,0,0,1,22,?,0,?,?,?,?,?,?,0.772727,0.033448,0.966552,0.227273,?,0.772727,?,?,0.925,0.792562,?,0.772727,0.013,0.001,0.01,0,10,0,43906,132102,24904,90.909091,7.007576,'Number of leaves: 29\nSize of the tree: 48\n',48,29,29,?
