@relation InstanceResultListener

@attribute Key_Dataset {cpu}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.functions.LinearRegression,weka.classifiers.functions.GaussianProcesses}
@attribute Key_Scheme_options {'-S 0 -R 1.0E-8 -num-decimal-places 4','-L 1.0 -N 0 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -S 1'}
@attribute Key_Scheme_version_ID {-3364580862046573747,-8620066949967678545}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute Correlation_coefficient numeric
@attribute Number_unclassified numeric
@attribute Percent_unclassified numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

cpu,1,1,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,28.70745,36.548009,40.128672,43.237954,0.964974,0,0,?,?,?,?,?,?,0.002,0,0,0,0,0,4974,17074,2879,?,?,?
cpu,1,2,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,59.131875,121.351629,46.580598,48.852755,0.908548,0,0,?,?,?,?,?,?,0.001,0,0,0,0,0,4974,17074,2879,?,?,?
cpu,1,3,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,38.062873,49.745598,46.078389,43.314406,0.935292,0,0,?,?,?,?,?,?,0.003,0,0,0,0,0,4974,17074,2879,?,?,?
cpu,1,4,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,27.746694,35.879071,26.230092,23.030124,0.976006,0,0,?,?,?,?,?,?,0.002,0,0,0,0,0,4974,17074,2879,?,?,?
cpu,1,5,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,33.744074,56.248289,28.225873,27.148324,0.982781,0,0,?,?,?,?,?,?,0.002,0.001,0,0,0,0,4974,17074,2879,?,?,?
cpu,1,6,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,61.114011,102.309456,51.885759,42.112128,0.910806,0,0,?,?,?,?,?,?,0.002,0.001,0,0,0,0,4982,17074,2879,?,?,?
cpu,1,7,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,66.393121,97.322379,65.367898,67.626988,0.796821,0,0,?,?,?,?,?,?,0.002,0,0,0,0,0,4982,17074,2879,?,?,?
cpu,1,8,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,26.42213,31.789518,38.131548,39.1631,0.916451,0,0,?,?,?,?,?,?,0.002,0,0,0,0,0,4974,17074,2879,?,?,?
cpu,1,9,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,31.754637,38.807975,39.090795,41.400353,0.928515,0,0,?,?,?,?,?,?,0.001,0,0,0,0,0,4974,17074,2879,?,?,?
cpu,1,10,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,189,20,37.645253,53.311048,43.986392,45.355111,0.921383,0,0,?,?,?,?,?,?,0.001,0,0,0,0,0,4974,17159,2794,?,?,?
cpu,2,1,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,44.144793,61.133615,58.69144,68.266854,0.920874,0,0,?,?,?,?,?,?,0.006,0.001,0,0,0,0,4974,17074,2879,?,?,?
cpu,2,2,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,28.321429,39.111482,29.601381,30.586529,0.965924,0,0,?,?,?,?,?,?,0.003,0.001,0,0,0,0,4974,17074,2879,?,?,?
cpu,2,3,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,39.302803,50.578434,51.090668,55.676699,0.932073,0,0,?,?,?,?,?,?,0,0.001,0,0,0,0,4974,17074,2879,?,?,?
cpu,2,4,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,38.925367,65.264567,30.135414,26.398542,0.987151,0,0,?,?,?,?,?,?,0.011,0,0,0,0,0,4974,17074,2879,?,?,?
cpu,2,5,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,37.835177,50.45619,54.493122,61.419134,0.898273,0,0,?,?,?,?,?,?,0.001,0,0,0,0,0,4974,17074,2879,?,?,?
cpu,2,6,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,49.949189,83.587055,39.371688,38.147324,0.937589,0,0,?,?,?,?,?,?,0.001,0,0,0,0,0,4974,17074,2879,?,?,?
cpu,2,7,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,33.278801,55.449264,35.033025,44.178632,0.917326,0,0,?,?,?,?,?,?,0.001,0,0,0,0,0,4974,17074,2879,?,?,?
cpu,2,8,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,49.193512,119.033623,41.187246,47.618338,0.925564,0,0,?,?,?,?,?,?,0.001,0,0,0,0,0,4982,17074,2879,?,?,?
cpu,2,9,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,46.200677,71.392901,49.942438,50.958097,0.893574,0,0,?,?,?,?,?,?,0.001,0,0,0,0,0,4974,17074,2879,?,?,?
cpu,2,10,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,189,20,42.894141,57.981058,52.308916,52.19663,0.872111,0,0,?,?,?,?,?,?,0.001,0,0,0,0,0,4974,17159,2794,?,?,?
cpu,3,1,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,24.456847,33.502986,36.666602,46.363538,0.966323,0,0,?,?,?,?,?,?,0.001,0,0,0,0,0,4974,17074,2879,?,?,?
cpu,3,2,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,29.534444,36.17189,34.289255,33.89261,0.944484,0,0,?,?,?,?,?,?,0.001,0,0,0,0,0,4974,17074,2879,?,?,?
cpu,3,3,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,20200304.1845,188,21,30.436556,41.860061,26.547848,24.917595,0.974313,0,0,?,?,?,?,?,?,0.001,0,0,0,0,0,4974,17074,2879,?,?,?
