@relation InstanceResultListener

@attribute Key_Dataset {credit-rating}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.lazy.IBk}
@attribute Key_Scheme_options {'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 4 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 5 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 6 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 7 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 8 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 9 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 10 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"'}
@attribute Key_Scheme_version_ID {-3080186098777067172}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

credit-rating,1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200304.1748,456,234,184,50,0,78.632479,21.367521,0,0.563107,0.214926,0.461245,43.512921,92.823578,231.912442,442.540421,-210.62798,0.991079,1.891198,-0.90012,130.625004,0.558227,56.325139,0.711538,74,0.153846,20,0.846154,110,0.288462,30,0.787234,0.711538,0.747475,0.565269,0.778846,0.688352,0.786325,0.228632,0.771368,0.213675,0.78639,0.786325,0.784886,0.565269,0.778846,0.722771,0.781145,0.786325,0.001,0.012,0,0.01,0,10,76529,74528,39674,78.632479,50,?
credit-rating,2,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200304.1748,456,234,188,46,0,80.34188,19.65812,0,0.599613,0.197906,0.442411,40.067251,89.033335,231.912442,407.19622,-175.283778,0.991079,1.740155,-0.749076,138.668967,0.592602,59.793673,0.75,78,0.153846,20,0.846154,110,0.25,26,0.795918,0.75,0.772277,0.600433,0.798077,0.70805,0.803419,0.207265,0.792735,0.196581,0.803088,0.803419,0.802716,0.600433,0.798077,0.742388,0.799672,0.803419,0,0.008,0,0.01,0,10,76529,74528,39674,80.34188,50,?
credit-rating,3,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200304.1748,455,235,196,39,0,83.404255,16.595745,0,0.66212,0.167419,0.406492,33.886167,81.761308,233.082553,345.225391,-112.142838,0.991841,1.469044,-0.477204,153.881255,0.654814,66.020066,0.780952,82,0.123077,16,0.876923,114,0.219048,23,0.836735,0.780952,0.807882,0.663341,0.828938,0.751322,0.834043,0.176167,0.823833,0.165957,0.83418,0.834043,0.833357,0.663341,0.828938,0.777026,0.830907,0.834043,0.001,0.008,0,0.01,0,10,76372,74371,39831,83.404255,50,?
credit-rating,4,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200304.1748,455,235,185,50,0,78.723404,21.276596,0,0.563586,0.214023,0.46026,43.338487,92.66296,232.76744,442.387181,-209.619741,0.9905,1.882499,-0.891999,131.506704,0.559603,56.497036,0.701923,73,0.145038,19,0.854962,112,0.298077,31,0.793478,0.701923,0.744898,0.566703,0.778442,0.688876,0.787234,0.230349,0.769651,0.212766,0.787758,0.787234,0.78538,0.566703,0.778442,0.723212,0.781208,0.787234,0,0.008,0,0.01,0,10,76372,74371,39831,78.723404,50,?
credit-rating,5,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200304.1748,455,235,189,46,0,80.425532,19.574468,0,0.603274,0.197076,0.441467,39.906856,88.879276,232.76744,407.055621,-174.288181,0.9905,1.732152,-0.741652,139.548148,0.593822,59.951748,0.778846,81,0.175573,23,0.824427,108,0.221154,23,0.778846,0.778846,0.778846,0.603274,0.801637,0.704474,0.804255,0.200982,0.799018,0.195745,0.804255,0.804255,0.804255,0.603274,0.801637,0.745212,0.801637,0.804255,0,0.008,0,0.01,0,10,76372,74371,39831,80.425532,50,?
credit-rating,6,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200304.1748,456,234,186,48,0,79.487179,20.512821,0,0.582205,0.206416,0.451926,41.790086,90.948203,231.912442,424.86832,-192.955879,0.991079,1.815677,-0.824598,134.646986,0.575414,58.059406,0.740385,77,0.161538,21,0.838462,109,0.259615,27,0.785714,0.740385,0.762376,0.583001,0.789423,0.697115,0.794872,0.216026,0.783974,0.205128,0.794468,0.794872,0.794139,0.583001,0.789423,0.733021,0.790963,0.794872,0,0.008,0,0.01,0,10,76529,74528,39674,79.487179,50,?
credit-rating,7,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200304.1748,455,235,187,48,0,79.574468,20.425532,0,0.585294,0.20555,0.450961,41.603845,90.70578,233.082553,424.721401,-191.638848,0.991841,1.807325,-0.815484,135.77542,0.577768,58.252074,0.752381,79,0.169231,22,0.830769,108,0.247619,26,0.782178,0.752381,0.76699,0.585644,0.791575,0.699134,0.795745,0.212594,0.787406,0.204255,0.79534,0.795745,0.795309,0.585644,0.791575,0.734571,0.792586,0.795745,0,0.01,0,0.01,0,10,76372,74371,39831,79.574468,50,?
credit-rating,8,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200304.1748,456,234,185,49,0,79.059829,20.940171,0,0.573088,0.210671,0.456609,42.651504,91.890675,231.912442,433.704371,-201.791929,0.991079,1.853437,-0.862359,132.635995,0.56682,57.192272,0.730769,76,0.161538,21,0.838462,109,0.269231,28,0.783505,0.730769,0.756219,0.574157,0.784615,0.69222,0.790598,0.221368,0.778632,0.209402,0.790236,0.790598,0.789697,0.574157,0.784615,0.72812,0.786349,0.790598,0,0.009,0,0.01,0,10,76529,74528,39674,79.059829,50,?
credit-rating,9,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200304.1748,456,234,195,39,0,83.333333,16.666667,0,0.660213,0.168122,0.407362,34.037328,81.979823,231.912442,345.343867,-113.431426,0.991079,1.475828,-0.48475,152.745902,0.65276,65.863608,0.778846,81,0.123077,16,0.876923,114,0.221154,23,0.835052,0.778846,0.80597,0.661444,0.827885,0.748667,0.833333,0.177564,0.822436,0.166667,0.833421,0.833333,0.832616,0.661444,0.827885,0.776118,0.829951,0.833333,0.001,0.008,0,0.01,0,10,76529,74528,39674,83.333333,50,?
credit-rating,10,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200304.1748,456,234,191,43,0,81.623932,18.376068,0,0.623174,0.185142,0.427742,37.482998,86.081202,231.912442,380.688069,-148.775627,0.991079,1.626872,-0.635793,144.701939,0.618384,62.395074,0.730769,76,0.115385,15,0.884615,115,0.269231,28,0.835165,0.730769,0.779487,0.627258,0.807692,0.729971,0.816239,0.200855,0.799145,0.183761,0.81796,0.816239,0.814489,0.627258,0.807692,0.755268,0.810989,0.816239,0,0.008,0,0.01,0,10,76529,74528,39674,81.623932,50,?
credit-rating,1,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200304.1748,456,234,191,43,0,81.623932,18.376068,0,0.633869,0.216434,0.406629,43.818282,81.832258,231.912442,312.826048,-80.913607,0.991079,1.336863,-0.345785,129.958599,0.555379,56.037787,0.875,91,0.230769,30,0.769231,100,0.125,13,0.752066,0.875,0.808889,0.640616,0.841568,0.747505,0.816239,0.172009,0.827991,0.183761,0.825894,0.816239,0.816754,0.640616,0.841568,0.793221,0.815967,0.816239,0,0.01,0,0.01,0,10,76537,74528,39674,88.461538,60.042735,?
credit-rating,2,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200304.1748,456,234,193,41,0,82.478632,17.521368,0,0.651558,0.192981,0.369561,39.070118,74.372592,231.912442,239.142383,-7.229942,0.991079,1.021976,-0.030897,140.975822,0.602461,60.788383,0.894231,93,0.230769,30,0.769231,100,0.105769,11,0.756098,0.894231,0.819383,0.660222,0.874112,0.802627,0.824786,0.161325,0.838675,0.175214,0.836544,0.824786,0.825212,0.660222,0.874112,0.831086,0.824629,0.824786,0.008,0.011,0,0.01,0,10,76537,74528,39674,91.880342,61.111111,?
credit-rating,3,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200304.1748,455,235,195,40,0,82.978723,17.021277,0,0.662478,0.170936,0.338768,34.597946,68.139388,233.082553,189.927948,43.154604,0.991841,0.808204,0.183637,152.114019,0.647294,65.261864,0.914286,96,0.238462,31,0.761538,99,0.085714,9,0.755906,0.914286,0.827586,0.674196,0.899817,0.847697,0.829787,0.153963,0.846037,0.170213,0.844837,0.829787,0.829991,0.674196,0.899817,0.863135,0.829759,0.829787,0,0.009,0,0.01,0,10,76380,74371,39831,94.042553,61.06383,?
credit-rating,4,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200304.1748,455,235,188,47,0,80,20,0,0.605972,0.215519,0.384312,43.641389,77.372536,232.76744,250.067074,-17.299635,0.9905,1.064115,-0.073615,130.771304,0.556474,56.181098,0.913462,95,0.290076,38,0.709924,93,0.086538,9,0.714286,0.913462,0.801688,0.624716,0.860504,0.773188,0.8,0.176615,0.823385,0.2,0.82437,0.8,0.79979,0.624716,0.860504,0.8141,0.799986,0.8,0,0.01,0,0,0,0,76380,74371,39831,91.914894,63.404255,?
credit-rating,5,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200304.1748,455,235,185,50,0,78.723404,21.276596,0,0.581225,0.18792,0.362971,38.052759,73.075933,232.76744,229.253177,3.514262,0.9905,0.975545,0.014954,143.700683,0.611492,61.735732,0.903846,94,0.305344,40,0.694656,91,0.096154,10,0.701493,0.903846,0.789916,0.600489,0.880285,0.819576,0.787234,0.188731,0.811269,0.212766,0.812702,0.787234,0.786887,0.600489,0.880285,0.840047,0.787199,0.787234,0,0.012,0,0.01,0,10,76380,74371,39831,92.340426,61.06383,?
credit-rating,6,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200304.1748,456,234,189,45,0,80.769231,19.230769,0,0.615385,0.197245,0.383695,39.93342,77.216963,231.912442,272.489744,-40.577302,0.991079,1.164486,-0.173407,138.909791,0.593632,59.897515,0.846154,88,0.223077,29,0.776923,101,0.153846,16,0.752137,0.846154,0.79638,0.619219,0.857396,0.796659,0.807692,0.184615,0.815385,0.192308,0.813865,0.807692,0.808288,0.619219,0.857396,0.814234,0.807097,0.807692,0,0.009,0,0.01,0,10,76537,74528,39674,90.17094,59.82906,?
credit-rating,7,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20200304.1748,455,235,192,43,0,81.702128,18.297872,0,0.636837,0.200658,0.3911,40.613748,78.665322,233.082553,290.08499,-57.002437,0.991841,1.234404,-0.242564,138.081938,0.587583,59.241645,0.895238,94,0.246154,32,0.753846,98,0.104762,11,0.746032,0.895238,0.813853,0.647096,0.856044,0.76859,0.817021,0.167937,0.832063,0.182979,0.830698,0.817021,0.8173,0.647096,0.856044,0.809378,0.816968,0.817021,0,0.009,0,0,0,0,76380,74371,39831,89.361702,59.361702,?
